Game Started:,7/16/2021 8:14:08 AM
00:00:00,Mathias,Spade, 5
00:00:00,Frederik,Diamond, 14
Game Ended,00:00:12
name,nr of beers,nr of sips,avg Sips,time Total,avg Time
Mathias,0.3571429,5,5,00:00:00,00:00:00
Frederik,1,14,14,00:00:00.4976693,00:00:00.4980000
Koch,0,0,0,00:00:00,00:00:00
Stev,0,0,0,00:00:00,00:00:00
Anton,0,0,0,00:00:00,00:00:00
Andreas,0,0,0,00:00:00,00:00:00
File End
